srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
175.45.176.2,29442,149.171.126.19,111,udp,INT,0.000017,168,0,254,0,0,0,-,39529412,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927445,1421927445,0.017,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,46282,149.171.126.14,111,tcp,FIN,0.633943,564,354,254,252,2,1,-,6410.670898,3912.023438,10,8,255,255,989626159,2517570187,56,44,0,0,5428.363514,137.309922,1421927446,1421927447,68.938778,89.719859,0.051477,0.005882,0.045595,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,17410,149.171.126.14,111,udp,INT,0.000004,168,0,254,0,0,0,-,168000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927449,1421927449,0.004,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,20549,149.171.126.10,111,udp,INT,0.000014,168,0,254,0,0,0,-,48000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927449,1421927449,0.014,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,7177,149.171.126.16,80,tcp,FIN,0.188505,1208,1020,62,252,2,2,-,46173.84375,37898.19922,10,8,255,255,3169747251,362560593,121,128,1,0,1092.069539,40.735301,1421927450,1421927450,20.945,24.700285,0.031407,0.014591,0.016816,0,1,1,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.3,42254,149.171.126.16,445,tcp,FIN,1.512013,10976,9180,62,252,19,18,-,56756.12891,47359.38281,44,40,255,255,1762564118,1774833809,249,230,0,0,1777.79883,47.691297,1421927450,1421927452,35.163092,38.108438,0.038093,0.019205,0.018888,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,61099,149.171.126.17,111,tcp,FIN,0.632601,564,354,254,252,2,1,-,6424.270508,3920.32251,10,8,255,255,192172250,791026797,56,44,0,0,5458.604114,139.175172,1421927452,1421927453,69.599444,89.264141,0.056697,0.007734,0.048963,0,1,0,0,0,1,1,1,2,1,1,1,Reconnaissance,1
175.45.176.3,53973,149.171.126.19,46823,tcp,FIN,0.184494,1926,268,254,252,2,1,-,75189.4375,9713.052734,10,6,255,255,3383747791,24702174,193,45,0,0,1017.341869,60.25023,1421927454,1421927454,19.211778,35.265199,0.05534,0.008163,0.047177,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.0,14324,149.171.126.13,502,tcp,FIN,0.214066,468,268,254,252,2,1,-,15770.83691,8371.25,10,6,255,255,2784361789,2253194490,47,45,0,0,1128.526548,60.616703,1421927456,1421927456,23.785111,41.159,0.052302,0.0076,0.044702,0,1,0,0,0,1,1,1,1,1,1,1,DoS,1
175.45.176.1,59988,149.171.126.15,111,udp,INT,0.00002,168,0,254,0,0,0,-,33600000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927458,1421927458,0.02,0,0,0,0,0,2,0,0,0,1,2,1,2,1,1,1,Reconnaissance,1
175.45.176.3,13692,149.171.126.15,111,udp,INT,0.000015,168,0,254,0,0,0,-,44800000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927459,1421927459,0.015,0,0,0,0,0,2,0,0,0,1,2,1,1,1,1,1,Reconnaissance,1
175.45.176.0,44900,149.171.126.10,36668,tcp,FIN,0.240026,724,268,254,252,2,1,-,21730.97852,7465.85791,10,6,255,255,4111228192,3501049438,72,45,0,0,1408.057326,70.982984,1421927465,1421927466,25.342889,45.208602,0.026861,0.013979,0.012882,0,1,0,0,0,1,1,1,1,1,1,1,Shellcode,1
175.45.176.1,18257,149.171.126.10,35019,udp,INT,0.000004,376,0,254,0,0,0,-,376000000,0,2,0,0,0,0,0,188,0,0,0,0,0,1421927466,1421927466,0.004,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Shellcode,1
175.45.176.0,45372,149.171.126.16,111,tcp,FIN,0.625921,564,354,254,252,2,1,-,6492.832031,3962.161377,10,8,255,255,1226406133,3253533023,56,44,0,0,5421.360504,139.425688,1421927467,1421927468,69.546778,87.469711,0.053786,0.00878,0.045006,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,7595,149.171.126.14,5555,tcp,FIN,0.173385,1944,268,254,252,2,1,-,80745.16406,10335.38086,10,6,255,255,2574562425,3287667336,194,45,0,0,955.122209,57.622852,1421927470,1421927471,17.729889,33.444602,0.049502,0.006152,0.04335,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.3,42061,149.171.126.18,59324,tcp,FIN,0.389653,732,354,254,252,2,1,-,13529.98731,6364.637207,10,8,255,255,3048296847,3890197923,73,44,0,0,2911.273623,114.352617,1421927477,1421927478,41.974556,52.47843,0.067166,0.022293,0.044873,0,1,0,0,0,1,1,1,1,1,1,1,Shellcode,1
175.45.176.1,35063,149.171.126.17,111,udp,INT,0.00001,168,0,254,0,0,0,-,67200000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927480,1421927480,0.01,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,40291,149.171.126.19,143,tcp,FIN,0.668831,1008,12548,62,252,6,10,-,11387.03223,143845.0156,18,24,255,255,1863885858,41339344,56,523,0,0,1957.079172,1683.832139,1421927481,1421927482,39.343,28.666219,0.053106,0.005869,0.047237,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.3,59106,149.171.126.18,111,tcp,FIN,0.626161,564,354,254,252,2,1,-,6490.34375,3960.642822,10,8,255,255,1793132359,3920545789,56,44,0,0,5429.095591,138.693875,1421927482,1421927483,69.016889,88.591289,0.050902,0.006012,0.04489,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,44133,149.171.126.19,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927483,1421927483,0.011,0,0,0,0,0,2,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,16116,149.171.126.12,111,udp,INT,0.00001,168,0,254,0,0,0,-,67200000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927485,1421927485,0.01,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,49950,149.171.126.16,5060,udp,INT,0.000003,1354,0,254,0,0,0,-,1805333248,0,2,0,0,0,0,0,677,0,0,0,0,0,1421927486,1421927486,0.003,0,0,0,0,0,2,0,0,0,2,1,1,1,1,1,1,Generic,1
175.45.176.3,3910,149.171.126.10,19757,tcp,FIN,0.189041,724,268,254,252,2,1,-,27591.89844,9479.424805,10,6,255,255,2747569307,3671777847,72,45,0,0,1018.41647,60.206754,1421927487,1421927488,19.367,36.397,0.051682,0.007052,0.04463,0,1,0,0,0,1,1,1,1,1,1,1,Shellcode,1
175.45.176.1,10126,149.171.126.19,1521,tcp,FIN,0.826131,5464,2230,254,252,8,7,-,50510.14844,20403.54492,22,18,255,255,2231178177,1502673250,248,124,0,0,1871.899526,54.866656,1421927497,1421927497,37.579097,48.057176,0.057915,0.00915,0.048765,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.3,9731,149.171.126.13,111,tcp,FIN,0.626992,564,354,254,252,2,1,-,6481.741699,3955.393555,10,8,255,255,3414330802,1207037691,56,44,0,0,5423.718292,138.465109,1421927506,1421927506,69.209667,88.558289,0.053095,0.007063,0.046032,0,1,0,0,0,3,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,18687,149.171.126.17,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927509,1421927509,0.011,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,60530,149.171.126.15,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927518,1421927518,0.011,0,0,0,0,0,2,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,50162,149.171.126.13,21375,tcp,FIN,0.190013,720,268,254,252,2,1,-,27282.34375,9430.933594,10,6,255,255,4289701187,1838865137,72,45,0,0,992.135288,58.557875,1421927519,1421927519,18.610778,36.624398,0.052153,0.006885,0.045268,0,1,0,0,0,1,1,1,1,1,1,1,Shellcode,1
175.45.176.1,24061,149.171.126.10,5060,udp,INT,0.000009,762,0,254,0,0,0,-,338666656,0,2,0,0,0,0,0,381,0,0,0,0,0,1421927524,1421927524,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.1,38706,149.171.126.16,4316,tcp,FIN,0.186056,634,268,254,252,2,1,-,24551.74805,9631.508789,10,6,255,255,3718987471,2805337410,63,45,0,0,995.709839,58.426707,1421927527,1421927527,18.845111,35.353,0.056565,0.009288,0.047277,0,1,0,0,0,2,1,1,1,1,1,1,Shellcode,1
175.45.176.1,25540,149.171.126.10,69,udp,INT,0.000005,1098,0,254,0,0,0,-,878400000,0,2,0,0,0,0,0,549,0,0,0,0,0,1421927528,1421927528,0.005,0,0,0,0,0,2,0,0,0,2,1,1,1,1,1,1,Generic,1
175.45.176.1,32145,149.171.126.18,3690,tcp,FIN,0.450016,922,872,254,252,4,4,-,15235.01367,14221.7168,14,12,255,255,3716234002,720646662,66,73,0,0,1811.83675,50.272695,1421927537,1421927537,33.616462,40.224363,0.052795,0.007526,0.045269,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.0,44308,149.171.126.10,111,tcp,FIN,0.632062,564,354,254,252,2,1,-,6429.749023,3923.665527,10,8,255,255,2088500579,60006933,56,44,0,0,5365.610193,139.389469,1421927540,1421927541,69.569222,89.26557,0.051451,0.007192,0.044259,0,1,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,34032,149.171.126.11,1900,tcp,FIN,0.268598,622,268,254,252,2,1,-,16679.20117,6671.680664,10,6,255,255,3592972344,1385428528,62,45,0,0,1333.491859,68.470672,1421927542,1421927542,23.582444,48.915602,0.032841,0.024013,0.008828,0,1,0,0,0,1,2,1,1,1,1,1,Exploits,1
175.45.176.0,14832,149.171.126.11,119,tcp,FIN,0.309507,4600,618,254,252,4,3,-,110420.7578,14397.08887,14,10,255,255,284727322,1097538583,329,62,0,0,1401.495281,42.404832,1421927544,1421927544,22.639154,33.528109,0.052864,0.007747,0.045117,0,1,0,0,0,2,2,1,1,1,1,1,Exploits,1
175.45.176.2,42171,149.171.126.15,111,udp,INT,0.00001,168,0,254,0,0,0,-,67200000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927555,1421927555,0.01,0,0,0,0,0,2,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,31831,149.171.126.10,111,tcp,FIN,0.632556,564,354,254,252,2,1,-,6424.727539,3920.601318,10,8,255,255,1144720868,3576817012,56,44,0,0,5426.035039,136.855844,1421927556,1421927557,68.723222,89.179711,0.052188,0.008288,0.0439,0,1,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,31757,149.171.126.13,111,udp,INT,0.000004,168,0,254,0,0,0,-,168000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927560,1421927560,0.004,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,26184,149.171.126.14,111,tcp,FIN,0.633378,564,354,254,252,2,1,-,6416.38916,3915.513184,10,8,255,255,89666066,1521989224,56,44,0,0,5360.953067,137.776469,1421927563,1421927563,69.757,88.09,0.045145,0.016741,0.028404,0,1,0,0,0,2,2,1,1,1,1,1,Reconnaissance,1
175.45.176.0,64007,149.171.126.14,111,tcp,FIN,0.631752,564,354,254,252,2,1,-,6432.903809,3925.591064,10,8,255,255,3497795894,47074523,56,44,0,0,5466.105862,139.640719,1421927564,1421927565,69.691333,89.244289,0.051423,0.007038,0.044385,0,1,0,0,0,2,2,1,1,1,1,1,Reconnaissance,1
175.45.176.0,56271,149.171.126.17,110,tcp,FIN,0.233355,2554,476,254,252,2,2,-,78815.53906,14295.81543,10,8,255,255,1710572921,3499607661,255,60,0,0,1384.701762,44.607973,1421927568,1421927569,24.326556,32.245,0.053275,0.007629,0.045646,0,1,0,0,0,2,1,1,1,1,1,1,Exploits,1
175.45.176.0,15237,149.171.126.14,111,tcp,FIN,0.644999,564,354,254,252,2,1,-,6300.784668,3844.967041,10,8,255,255,3824828806,120734111,56,44,0,0,5467.5722,140.045078,1421927570,1421927570,70.591111,91.106859,0.052728,0.007241,0.045487,0,1,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,42963,149.171.126.13,554,tcp,FIN,0.230327,828,9452,62,252,2,5,-,25910.98828,304853.5313,10,14,255,255,3703535303,3290354382,83,675,0,0,1223.813879,1473.34193,1421927572,1421927572,25.591889,17.166231,0.05171,0.006463,0.045247,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.0,60990,149.171.126.11,111,udp,INT,0.00001,168,0,254,0,0,0,-,67200000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927580,1421927580,0.01,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,11635,149.171.126.14,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927582,1421927582,0.011,0,0,0,0,0,2,0,0,0,30,1,1,9,1,1,1,Reconnaissance,1
175.45.176.3,10905,149.171.126.11,1900,udp,INT,0.000012,1324,0,254,0,0,0,-,441333312,0,2,0,0,0,0,0,662,0,0,0,0,0,1421927600,1421927600,0.012,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,41336,149.171.126.12,20031,tcp,FIN,0.481904,70349,526,254,252,27,1,-,1148394.75,8018.194336,60,12,255,255,4026462330,3148216214,1172,44,0,0,1003.001348,64.290031,1421927609,1421927609,8.054051,40.365727,0.114448,0.037877,0.076571,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,55799,149.171.126.12,20031,tcp,FIN,0.234308,364,268,254,252,1,1,-,10891.64648,7648.052734,8,6,255,255,2137491213,2144195214,46,45,0,0,2060.937912,74.423547,1421927610,1421927610,33.472571,41.421602,0.051934,0.026579,0.025355,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.3,63009,149.171.126.16,111,udp,INT,0.000006,168,0,254,0,0,0,-,112000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927611,1421927611,0.006,0,0,0,0,0,2,0,0,0,3,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,14374,149.171.126.13,111,udp,INT,0.00001,168,0,254,0,0,0,-,67200000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927612,1421927612,0.01,0,0,0,0,0,2,0,0,0,3,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,60197,149.171.126.19,110,tcp,FIN,0.542439,2832,637,254,252,3,3,-,38286.33203,8465.467773,12,10,255,255,921270739,2976817785,236,64,0,0,3382.304229,111.562305,1421927613,1421927614,48.054818,57.797891,0.073078,0.02225,0.050828,0,1,0,0,0,3,1,1,1,1,1,1,Exploits,1
175.45.176.2,16436,149.171.126.12,119,tcp,FIN,0.241641,1474,440,254,252,2,2,-,43932.94141,12746.18164,10,8,255,255,3080367643,2396541607,147,55,0,0,1473.509494,41.148031,1421927618,1421927618,22.970556,32.333285,0.028333,0.015297,0.013036,0,1,0,0,0,1,1,1,1,1,1,1,Generic,1
175.45.176.0,34703,149.171.126.19,5060,udp,INT,0.000012,1456,0,254,0,0,0,-,485333312,0,2,0,0,0,0,0,728,0,0,0,0,0,1421927620,1421927620,0.012,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Generic,1
175.45.176.3,29408,149.171.126.18,111,tcp,FIN,0.677349,564,354,254,252,2,1,-,5999.861328,3661.332764,10,8,255,255,1575276073,2951178826,56,44,0,0,5420.676822,134.766594,1421927619,1421927620,75.261,94.289289,0.031457,0.016702,0.014755,0,1,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,59451,149.171.126.16,34049,tcp,FIN,0.170426,728,268,254,252,2,1,-,30793.42383,10514.82813,10,6,255,255,1104929019,381282576,73,45,0,0,973.004027,50.635605,1421927623,1421927623,17.563778,31.299199,0.033915,0.013919,0.019996,0,1,0,0,0,1,1,1,1,1,1,1,Shellcode,1
175.45.176.3,52754,149.171.126.15,7080,tcp,FIN,2.362805,1786,268,254,252,6,1,-,5617.052734,758.420654,14,6,255,255,1344930901,3014125125,128,45,0,0,19104.8509,932.50125,1421927622,1421927624,181.532995,469.568812,0.030602,0.01495,0.015652,0,1,0,0,0,2,1,1,1,1,1,1,Exploits,1
175.45.176.2,58757,149.171.126.16,111,tcp,FIN,0.695721,564,354,254,252,2,1,-,5841.422363,3564.647461,10,8,255,255,3127894595,2415115905,56,44,0,0,6048.40226,139.007438,1421927625,1421927626,76.272444,93.904289,0.086427,0.038381,0.048046,0,1,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.2,45650,149.171.126.16,111,udp,INT,0.000001,168,0,254,0,0,0,-,672000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927629,1421927629,0.001,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,24891,149.171.126.15,111,udp,INT,0.000005,168,0,254,0,0,0,-,134400000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927632,1421927632,0.005,0,0,0,0,0,2,0,0,0,1,1,1,3,1,1,1,Reconnaissance,1
175.45.176.2,11926,149.171.126.13,37552,tcp,FIN,0.218966,524,268,254,252,2,1,-,17244.68555,8183.918457,10,6,255,255,2379844377,1672720175,52,45,0,0,1130.226077,54.448754,1421927633,1421927634,22.202667,40.167,0.032263,0.018123,0.01414,0,1,0,0,0,2,2,1,1,1,1,1,Shellcode,1
175.45.176.2,8900,149.171.126.13,111,udp,INT,0.000008,168,0,254,0,0,0,-,84000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927635,1421927635,0.008,0,0,0,0,0,2,0,0,0,2,2,1,1,1,1,1,Reconnaissance,1
175.45.176.1,20295,149.171.126.19,111,udp,INT,0.000009,168,0,254,0,0,0,-,74666664,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927636,1421927636,0.009,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,26420,149.171.126.13,143,tcp,FIN,0.693588,1266,65578,62,252,6,30,-,14002.54883,744580.3125,24,64,255,255,2747725924,4222933754,53,1025,0,0,1564.94117,889.027857,1421927639,1421927640,30.155999,10.377032,0.028976,0.014159,0.014817,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.2,2939,149.171.126.18,111,udp,INT,0.000004,168,0,254,0,0,0,-,168000000,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927641,1421927641,0.004,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,15099,149.171.126.17,3306,tcp,FIN,0.270462,866,562,254,252,3,3,-,23485.73828,14966.98242,12,10,255,255,3461433180,4286370698,72,56,0,0,1288.461928,37.959012,1421927642,1421927643,23.807908,29.072,0.042287,0.008804,0.033483,0,1,0,0,0,1,1,1,1,1,1,1,Exploits,1
175.45.176.0,3188,149.171.126.14,111,tcp,FIN,0.713725,564,354,254,252,2,1,-,5694.070312,3474.727783,10,8,255,255,1705620849,2874245941,56,44,0,0,6121.529805,145.809031,1421927651,1421927652,77.186333,99.66557,0.029756,0.016063,0.013693,0,1,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.0,21356,149.171.126.15,111,tcp,FIN,0.656862,564,354,254,252,2,1,-,6186.991699,3775.526611,10,8,255,255,3557992227,2311595523,56,44,0,0,5711.624396,144.743891,1421927654,1421927655,72.609778,92.871859,0.051834,0.006748,0.045086,0,1,0,0,0,2,1,1,1,1,1,1,Reconnaissance,1
175.45.176.1,24809,149.171.126.14,443,tcp,FIN,0.265469,2294,552,254,252,3,2,-,63374.62891,14555.37109,12,8,255,255,295716879,1216928686,191,69,0,0,1215.324742,43.4465,1421927659,1421927659,22.525091,31.862715,0.070897,0.042424,0.028473,0,1,0,0,0,3,2,1,1,1,1,1,Exploits,1
175.45.176.0,20111,149.171.126.15,143,tcp,FIN,0.721854,1002,2630,62,252,6,7,-,10495.19727,27529.11328,18,18,255,255,929223201,2825845332,56,146,0,0,2109.776364,49.02748,1421927661,1421927661,42.462,41.052941,0.073031,0.023227,0.049804,0,1,0,0,0,1,1,1,5,1,1,1,Exploits,1
175.45.176.1,51514,149.171.126.14,111,tcp,FIN,0.713281,564,354,254,252,2,1,-,5697.614258,3476.890625,10,8,255,255,951626624,3318271207,56,44,0,0,5637.972747,138.415703,1421927662,1421927662,75.401889,97.422859,0.052657,0.031311,0.021346,0,1,0,0,0,3,2,1,1,1,1,1,Reconnaissance,1
175.45.176.1,61055,149.171.126.11,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927663,1421927663,0.011,0,0,0,0,0,2,0,0,0,3,1,1,1,1,1,1,Reconnaissance,1
175.45.176.3,33069,149.171.126.14,179,tcp,FIN,0.221274,610,268,254,252,2,1,-,19848.69336,8098.556641,10,6,255,255,3752623239,2841708089,61,45,0,0,1203.747831,64.771691,1421927665,1421927665,24.586,39.602801,0.073094,0.021874,0.05122,0,1,0,0,0,6,6,2,2,2,1,2, Fuzzers,1
175.45.176.3,6711,149.171.126.14,179,tcp,FIN,0.262317,610,268,254,252,2,1,-,16743.10156,6831.429199,10,6,255,255,4095078546,672852383,61,45,0,0,1447.544526,69.958695,1421927665,1421927665,28.075222,43.874,0.079569,0.042943,0.036626,0,1,0,0,0,6,6,2,2,2,1,2, Fuzzers,1
175.45.176.3,57584,149.171.126.14,179,tcp,FIN,0.501593,674,354,254,252,2,1,-,9681.15625,4944.247559,10,8,255,255,4037849983,2529194861,67,44,0,0,3601.690898,114.098414,1421927665,1421927666,53.020778,64.587,0.082172,0.049473,0.032699,0,1,0,0,0,6,6,2,3,2,1,2, Fuzzers,1
175.45.176.3,60438,149.171.126.14,179,tcp,FIN,0.306026,674,268,254,252,2,1,-,15867.93262,5855.711426,10,6,255,255,1550950855,4248254681,67,45,0,0,1778.244413,84.928242,1421927666,1421927666,32.310333,52.225801,0.108626,0.044893,0.063733,0,1,0,0,0,6,6,2,3,2,1,2, Fuzzers,1
175.45.176.3,11779,149.171.126.14,179,tcp,FIN,0.397337,502,268,254,252,2,1,-,9100.586914,4510.025391,10,6,255,255,3476299997,684061115,50,45,0,0,2237.9104,109.565523,1421927666,1421927667,42.800222,67.170398,0.137027,0.061475,0.075552,0,1,0,0,0,6,6,2,2,2,1,2, Fuzzers,1
175.45.176.3,59728,149.171.126.14,179,tcp,FIN,0.318022,610,268,254,252,2,1,-,13810.36523,5634.830078,10,6,255,255,2499724495,3370262563,61,45,0,0,1620.037498,63.815801,1421927667,1421927667,31.350889,48.502801,0.107884,0.075497,0.032387,0,1,0,0,0,6,6,2,2,2,1,2, Fuzzers,1
175.45.176.1,34756,149.171.126.11,111,udp,INT,0.000011,168,0,254,0,0,0,-,61090908,0,2,0,0,0,0,0,84,0,0,0,0,0,1421927667,1421927667,0.011,0,0,0,0,0,2,0,0,0,1,1,1,1,1,1,1,Reconnaissance,1
